FID,START_X,START_Y,END_X,END_Y
349,2880.92744505,303.141113848,2918.9382054,253.314468758
350,2756.15499751,-145.331909296,2800.36512867,-192.040183983
351,2800.36512867,-192.040183983,2800.91663979,-192.622858857
352,2665.55396047,-49.6113580756,2679.58955974,-64.4400547692
353,2679.58955974,-64.4400547692,2694.23434924,-79.9123646826
354,2694.23434924,-79.9123646826,2709.46765657,-96.0064472921
355,2709.46765657,-96.0064472921,2736.41342507,-124.47481696
356,2736.41342507,-124.47481696,2737.30555776,-125.417360619
357,2737.30555776,-125.417360619,2756.15499751,-145.331909296
358,3503.09794789,386.53836768,3563.75795036,330.59263024
359,3450.42661232,367.039754615,3437.53923587,386.53836768
360,3450.42661232,367.039754615,3461.98826364,349.546964959
361,3461.98826364,349.546964959,3563.75795036,195.569330276
362,2155.99475799,-398.619075152,2278.43928665,-488.917984116
363,2278.43928665,-488.917984116,2302.42047133,-506.603337931
364,2302.42047133,-506.603337931,2330.77764698,-527.515844609
365,2330.77764698,-527.515844609,2484.59594301,-640.951899787
366,2493.00685063,-619.481234758,2536.24870273,-682.08297035
367,2536.24870273,-682.08297035,2576.12968372,-739.819133472
368,2576.12968372,-739.819133472,2578.38132522,-743.078861232
369,2578.38132522,-743.078861232,2580.0789235,-745.536494142
370,2580.0789235,-745.536494142,2592.46062773,-763.46163232
371,2358.85252788,14.7613826422,2371.30833392,-2.12692430037
372,2371.30833392,-2.12692430037,2393.79571442,-32.6166238998
373,2274.74586176,128.798096876,2278.89098537,123.17789697
374,2278.89098537,123.17789697,2358.85252788,14.7613826422
375,3213.07889658,370.568223633,3197.03916456,386.53836768
376,3213.07889658,370.568223633,3215.00165267,368.653809367
377,3215.00165267,368.653809367,3245.04180812,338.743982372
378,3245.04180812,338.743982372,3264.98102142,318.891274841
379,3264.98102142,318.891274841,3267.36559051,316.517051142
380,3267.36559051,316.517051142,3267.91217975,315.972833263
381,3267.91217975,315.972833263,3275.61796807,308.300476314
382,3370.48363227,125.771566333,3375.96558451,119.093656875
383,3375.96558451,119.093656875,3420.52710501,64.8104771139
384,3335.82705838,167.988910108,3362.70671174,135.245120426
385,3362.70671174,135.245120426,3370.48363227,125.771566333
386,3447.00149111,-572.617513942,3493.46800687,-632.697979542
387,3493.46800687,-632.697979542,3502.86889549,-644.853178954
388,3502.86889549,-644.853178954,3533.81911865,-684.871325088
389,3353.08302892,-451.182436562,3363.01395465,-464.022965541
390,3363.01395465,-464.022965541,3382.98101362,-489.840055113
391,3382.98101362,-489.840055113,3421.96547113,-540.246338435
392,3421.96547113,-540.246338435,3427.47269863,-547.367095967
393,3427.47269863,-547.367095967,3447.00149111,-572.617513942
394,2651.99320157,-591.031827502,2657.84686132,-598.232040219
395,2657.84686132,-598.232040219,2695.18985562,-644.165270706
396,2695.18985562,-644.165270706,2712.27107248,-665.175783802
397,2997.71513771,-678.871561444,3051.04906047,-749.861363276
