#FID, PT_X, PT_Y
783,-51800.8543,6711300.775
784,-51801.0039,6711304.674
784,-51803.3626,6711300.828
784,-51804.1299,6711299.743
785,-51802.2753,6711302.601
785,-51804.6326,6711299.875
785,-51805.8582,6711298.529
786,-51821.3066,6711299.328
786,-51819.3813,6711298.797
787,-51816.5922,6711289.191
787,-51815.5678,6711287.422
788,-51814.0337,6711293.452
788,-51813.8985,6711291.618
789,-51814.7401,6711292.294
789,-51814.4718,6711290.574
790,-51814.6548,6711291.747
790,-51815.5295,6711290.095
790,-51815.7852,6711289.436
792,-51799.7779,6711289.568
792,-51800.1308,6711289.407
792,-51802.8537,6711287.683
792,-51805.2872,6711286.036
793,-51803.4159,6711299.755
793,-51804.4743,6711297.043
794,-51803.5569,6711297.91
794,-51804.4743,6711297.043
794,-51804.932,6711296.618
795,-51824.3392,6711294.831
795,-51823.4141,6711294.249
796,-51825.0007,6711293.078
796,-51822.9171,6711295.393
798,-51800.3757,6711307.765
798,-51801.4075,6711306.098
798,-51802.7304,6711303.981
799,-51802.2359,6711306.565
799,-51801.5758,6711306.259
799,-51801.4075,6711306.098
800,-51821.475,6711288.428
800,-51821.8038,6711287.858
801,-51822.5553,6711287.461
801,-51822.2913,6711287.374
802,-51822.8146,6711287.112
802,-51822.5121,6711287.014
803,-51822.1877,6711287.542
803,-51821.8885,6711287.467
804,-51821.642,6711288.138
804,-51821.2588,6711287.975
805,-51826.0101,6711286.87
805,-51825.4967,6711286.616
806,-51825.4475,6711286.691
806,-51824.6947,6711286.452
807,-51823.1016,6711288.516
807,-51822.535,6711288.374
808,-51824.7445,6711288.818
808,-51824.4007,6711288.695
809,-51818.0164,6711299.068
809,-51817.1687,6711298.639
811,-51813.7176,6711295.61
811,-51813.298,6711295.051
812,-51806.8059,6711294.124
812,-51808.5575,6711291.555
812,-51809.1702,6711290.811
813,-51806.6605,6711295.153
813,-51808.2136,6711292.608
814,-51807.4939,6711294.714
814,-51808.4781,6711292.373
814,-51808.7656,6711291.302
815,-51808.2362,6711293.542
815,-51807.7565,6711293.357
816,-51801.2076,6711298.135
816,-51802.4559,6711298.614
816,-51803.0195,6711298.839
817,-51799.2461,6711297.574
817,-51799.6866,6711296.82
817,-51800.0998,6711296.297
817,-51800.774,6711295.379
818,-51799.9485,6711296.018
818,-51801.0042,6711294.78
819,-51800.8058,6711295.522
819,-51800.774,6711295.379
819,-51800.6034,6711295.01
820,-51801.3813,6711295.244
820,-51801.7384,6711294.311
